Product_Name,price,Stars,Reviews,Ratings,Specifications
"ViVO Y31 (Ocean Blue, 128 GB)",₹16490,4.4,364 Reviews,"5,494 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 662 Processor1 Year for Handset and 6 Months for In-box Accessories"
"realme 8 Pro (Infinite Blue, 128 GB)",₹19999,4.3,"1,088 Reviews","13,175 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP , 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 Pro (Infinite Black, 128 GB)",₹17999,4.3,"2,955 Reviews","32,362 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP , 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 Pro (Infinite Black, 128 GB)",₹19999,4.3,"1,088 Reviews","13,175 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP , 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 Pro (Illuminating Yellow, 128 GB)",₹19999,4.3,"1,088 Reviews","13,175 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP , 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)",₹18999,4.3,"1,016 Reviews","10,964 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 8MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 800U Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"SAMSUNG M31 (Ocean Blue, 128 GB)",₹16899,4.3,401 Reviews,"5,094 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 5MP + 5MP , 32MP Front Camera6000 mAh BatterySamsung Exynos 9 Octa 9611 Processor1 year"
"OPPO A53s 5G (Ink Black, 128 GB)",₹17990,4.3,164 Reviews,"1,955 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 ProcessorDual-Mode 5G , Ultra Clear Eye Care Display , Side Fingerprint UnlockBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"OPPO A53 (Moonlight Black, 64 GB)",₹12990,4.5,"1,725 Reviews","35,192 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP , 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 460 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"realme X7 5G (Space Silver, 128 GB)",₹19999,4.3,"4,081 Reviews","40,225 Ratings","6 GB RAM , 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP , 16MP Front Camera4310 mAh BatteryMediaTek Dimensity 800U ProcessorSuper AMOLED Display50W Fast Charging , Lightweight (176 g) and SlimBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"realme X7 5G (Nebula, 128 GB)",₹19999,4.3,"4,081 Reviews","40,225 Ratings","6 GB RAM , 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP , 16MP Front Camera4310 mAh BatteryMediaTek Dimensity 800U ProcessorSuper AMOLED Display50W Fast Charging , Lightweight (176 g) and SlimBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"POCO X3 (Cobalt Blue, 128 GB)",₹16999,4.3,"20,939 Reviews","2,16,075 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP , 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories"
"realme 8 Pro (Infinite Blue, 128 GB)",₹17999,4.3,"2,955 Reviews","32,362 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP , 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme Narzo 30 Pro 5G (Sword Black, 128 GB)",₹18999,4.3,"1,016 Reviews","10,964 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 8MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 800U Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"POCO X3 (Shadow Gray, 64 GB)",₹15999,4.3,"20,939 Reviews","2,16,075 Ratings","6 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP , 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories"
"SAMSUNG Galaxy M31 (Ocean Blue, 128 GB)",₹19389,4.3,70 Reviews,"1,134 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 5MP + 5MP , 32MP Front Camera6000 mAh BatterySamsung Exynos 9 Octa 9611 Processor1 year"
"OPPO A54 (Moonlight Gold, 128 GB)",₹15990,4.3,37 Reviews,739 Ratings,"6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP , 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)",₹16499,4.3,574 Reviews,"4,966 Ratings","6 GB RAM , 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 8MP + 2MP , 16MP Front Camera6000 mAh BatteryQualcomm Snapdragon 732G Processor120Hz Refresh RateStock Android Experience1 Year on Handset and 6 Months on Accessories"
"SAMSUNG Galaxy M21 (Midnight Blue, 64 GB)",₹15499,4.3,543 Reviews,"7,178 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display48MP + 8MP + 5MP , 20MP Front Camera6000 mAh Battery Exynos 9611-Octa Core processor Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase"
"MOTOROLA G60 (Frosted Champagne, 128 GB)",₹17999,4.2,"1,357 Reviews","12,908 Ratings","6 GB RAM , 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP + 8MP + 2MP , 32MP Front Camera6000 mAh BatteryQualcomm Snapdragon 732G Processor120Hz Refresh RateStock Android Experience1 Year on Handset and 6 Months on Accessories"
"SAMSUNG Galaxy M31 (Space Black, 128 GB)",₹17990,4.3,581 Reviews,"7,872 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 5MP + 5MP , 32MP Front Camera6000 mAh BatterySamsung Exynos 9 Octa 9611 Processor1 year"
"POCO M3 Pro 5G (Power Black, 64 GB)",₹13999,4.3,305 Reviews,"4,352 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 700 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"POCO M3 Pro 5G (Power Black, 128 GB)",₹15999,4.2,232 Reviews,"2,683 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 700 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"realme 7 Pro (Mirror Silver, 128 GB)",₹19999,4.4,"8,653 Reviews","85,488 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 32MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display65 W SuperDart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"realme 7 Pro (Mirror Blue, 128 GB)",₹19999,4.4,"8,653 Reviews","85,488 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 32MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display65 W SuperDart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"REDMI Note 9 (Shadow Black, 128 GB)",₹13999,4.3,318 Reviews,"4,734 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP , 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase"
"POCO X3 (Cobalt Blue, 128 GB)",₹18999,4.3,"2,805 Reviews","29,735 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP , 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories"
"ViVO Y30 (Emerald Black, 128 GB)",₹16990,4.3,132 Reviews,"1,757 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.43 cm (6.47 inch) HD+ Display13MP + 8MP + 2MP + 2MP , 8MP Front Camera5000 mAh Li-ion BatteryMediaTek Helio P35 Processor1 Year for Device and 6 Months for In-box Accessories"
"OPPO F19 (Prism Black, 128 GB)",₹18990,4.2,85 Reviews,"1,307 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 662 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"OPPO F19 (Midnight Blue, 128 GB)",₹18990,4.2,85 Reviews,"1,307 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 662 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"REDMI Note 9 (Arctic White, 128 GB)",₹13999,4.3,318 Reviews,"4,734 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP , 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase"
"REDMI Note 9 (Arctic White, 128 GB)",₹12999,4.3,"4,490 Reviews","60,967 Ratings","4 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP , 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase"
"POCO X3 (Cobalt Blue, 64 GB)",₹15999,4.3,"20,939 Reviews","2,16,075 Ratings","6 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP , 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories"
"SAMSUNG Galaxy M21 (Raven Black, 64 GB)",₹15495,4.3,543 Reviews,"7,178 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display48MP + 8MP + 5MP , 20MP Front Camera6000 mAh Battery Exynos 9611-Octa Core processor Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase"
"REDMI Note 10 Pro (Vintage Bronze, 64 GB)",₹17532,4.3,71 Reviews,939 Ratings,"6 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 5MP + 2MP , 16MP Front Camera5020 mAh Li-Polymer BatteryQualcomm Snapdragon 732G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase"
"SAMSUNG Galaxy A31 (Prism Crush Black, 128 GB)",₹16999,4.3,925 Reviews,"10,392 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display48MP + 8MP + 5MP + 5MP , 20MP Front Camera5000 mAh Lithium-ion BatteryMediaTek (MT6768) Octa Core ProcessorSuper AMOLED Display1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
